codepoints	group	counted	cluster_width	code_point_sum	note
1F645+1F3FD+200D+2640+FE0F	emoji-fully-qualified	2	2	6	woman gesturing NO: medium skin tone
1F645+1F3FD+200D+2640	emoji-minimally-qualified	2	2	6	woman gesturing NO: medium skin tone
1F645+1F3FE+200D+2640+FE0F	emoji-fully-qualified	2	2	6	woman gesturing NO: medium-dark skin tone
1F645+1F3FE+200D+2640	emoji-minimally-qualified	2	2	6	woman gesturing NO: medium-dark skin tone
1F645+1F3FF+200D+2640+FE0F	emoji-fully-qualified	2	2	6	woman gesturing NO: dark skin tone
1F645+1F3FF+200D+2640	emoji-minimally-qualified	2	2	6	woman gesturing NO: dark skin tone
1F646	emoji-fully-qualified	2	2	2	person gesturing OK
1F646+1F3FB	emoji-fully-qualified	2	2	4	person gesturing OK: light skin tone
1F646+1F3FC	emoji-fully-qualified	2	2	4	person gesturing OK: medium-light skin tone
1F646+1F3FD	emoji-fully-qualified	2	2	4	person gesturing OK: medium skin tone
1F646+1F3FE	emoji-fully-qualified	2	2	4	person gesturing OK: medium-dark skin tone
1F646+1F3FF	emoji-fully-qualified	2	2	4	person gesturing OK: dark skin tone
1F646+200D+2642+FE0F	emoji-fully-qualified	2	2	4	man gesturing OK
1F646+200D+2642	emoji-minimally-qualified	2	2	4	man gesturing OK
1F646+1F3FB+200D+2642+FE0F	emoji-fully-qualified	2	2	6	man gesturing OK: light skin tone
1F646+1F3FB+200D+2642	emoji-minimally-qualified	2	2	6	man gesturing OK: light skin tone
1F646+1F3FC+200D+2642+FE0F	emoji-fully-qualified	2	2	6	man gesturing OK: medium-light skin tone
1F646+1F3FC+200D+2642	emoji-minimally-qualified	2	2	6	man gesturing OK: medium-light skin tone
1F646+1F3FD+200D+2642+FE0F	emoji-fully-qualified	2	2	6	man gesturing OK: medium skin tone
1F646+1F3FD+200D+2642	emoji-minimally-qualified	2	2	6	man gesturing OK: medium skin tone
1F646+1F3FE+200D+2642+FE0F	emoji-fully-qualified	2	2	6	man gesturing OK: medium-dark skin tone
1F646+1F3FE+200D+2642	emoji-minimally-qualified	2	2	6	man gesturing OK: medium-dark skin tone
1F646+1F3FF+200D+2642+FE0F	emoji-fully-qualified	2	2	6	man gesturing OK: dark skin tone
1F646+1F3FF+200D+2642	emoji-minimally-qualified	2	2	6	man gesturing OK: dark skin tone
1F646+200D+2640+FE0F	emoji-fully-qualified	2	2	4	woman gesturing OK
1F646+200D+2640	emoji-minimally-qualified	2	2	4	woman gesturing OK
1F646+1F3FB+200D+2640+FE0F	emoji-fully-qualified	2	2	6	woman gesturing OK: light skin tone
1F646+1F3FB+200D+2640	emoji-minimally-qualified	2	2	6	woman gesturing OK: light skin tone
1F646+1F3FC+200D+2640+FE0F	emoji-fully-qualified	2	2	6	woman gesturing OK: medium-light skin tone
1F646+1F3FC+200D+2640	emoji-minimally-qualified	2	2	6	woman gesturing OK: medium-light skin tone
1F646+1F3FD+200D+2640+FE0F	emoji-fully-qualified	2	2	6	woman gesturing OK: medium skin tone
1F646+1F3FD+200D+2640	emoji-minimally-qualified	2	2	6	woman gesturing OK: medium skin tone
1F646+1F3FE+200D+2640+FE0F	emoji-fully-qualified	2	2	6	woman gesturing OK: medium-dark skin tone
1F646+1F3FE+200D+2640	emoji-minimally-qualified	2	2	6	woman gesturing OK: medium-dark skin tone
1F646+1F3FF+200D+2640+FE0F	emoji-fully-qualified	2	2	6	woman gesturing OK: dark skin tone
1F646+1F3FF+200D+2640	emoji-minimally-qualified	2	2	6	woman gesturing OK: dark skin tone
1F481	emoji-fully-qualified	2	2	2	person tipping hand
1F481+1F3FB	emoji-fully-qualified	2	2	4	person tipping hand: light skin tone
1F481+1F3FC	emoji-fully-qualified	2	2	4	person tipping hand: medium-light skin tone
1F481+1F3FD	emoji-fully-qualified	2	2	4	person tipping hand: medium skin tone
1F481+1F3FE	emoji-fully-qualified	2	2	4	person tipping hand: medium-dark skin tone
1F481+1F3FF	emoji-fully-qualified	2	2	4	person tipping hand: dark skin tone
1F481+200D+2642+FE0F	emoji-fully-qualified	2	2	4	man tipping hand
1F481+200D+2642	emoji-minimally-qualified	2	2	4	man tipping hand
1F481+1F3FB+200D+2642+FE0F	emoji-fully-qualified	2	2	6	man tipping hand: light skin tone
1F481+1F3FB+200D+2642	emoji-minimally-qualified	2	2	6	man tipping hand: light skin tone
1F481+1F3FC+200D+2642+FE0F	emoji-fully-qualified	2	2	6	man tipping hand: medium-light skin tone
1F481+1F3FC+200D+2642	emoji-minimally-qualified	2	2	6	man tipping hand: medium-light skin tone
1F481+1F3FD+200D+2642+FE0F	emoji-fully-qualified	2	2	6	man tipping hand: medium skin tone
1F481+1F3FD+200D+2642	emoji-minimally-qualified	2	2	6	man tipping hand: medium skin tone
1F481+1F3FE+200D+2642+FE0F	emoji-fully-qualified	2	2	6	man tipping hand: medium-dark skin tone
1F481+1F3FE+200D+2642	emoji-minimally-qualified	2	2	6	man tipping hand: medium-dark skin tone
1F481+1F3FF+200D+2642+FE0F	emoji-fully-qualified	2	2	6	man tipping hand: dark skin tone
1F481+1F3FF+200D+2642	emoji-minimally-qualified	2	2	6	man tipping hand: dark skin tone
1F481+200D+2640+FE0F	emoji-fully-qualified	2	2	4	woman tipping hand
1F481+200D+2640	emoji-minimally-qualified	2	2	4	woman tipping hand
1F481+1F3FB+200D+2640+FE0F	emoji-fully-qualified	2	2	6	woman tipping hand: light skin tone
1F481+1F3FB+200D+2640	emoji-minimally-qualified	2	2	6	woman tipping hand: light skin tone
1F481+1F3FC+200D+2640+FE0F	emoji-fully-qualified	2	2	6	woman tipping hand: medium-light skin tone
1F481+1F3FC+200D+2640	emoji-minimally-qualified	2	2	6	woman tipping hand: medium-light skin tone
1F481+1F3FD+200D+2640+FE0F	emoji-fully-qualified	2	2	6	woman tipping hand: medium skin tone
1F481+1F3FD+200D+2640	emoji-minimally-qualified	2	2	6	woman tipping hand: medium skin tone
1F481+1F3FE+200D+2640+FE0F	emoji-fully-qualified	2	2	6	woman tipping hand: medium-dark skin tone
1F481+1F3FE+200D+2640	emoji-minimally-qualified	2	2	6	woman tipping hand: medium-dark skin tone
1F481+1F3FF+200D+2640+FE0F	emoji-fully-qualified	2	2	6	woman tipping hand: dark skin tone
1F481+1F3FF+200D+2640	emoji-minimally-qualified	2	2	6	woman tipping hand: dark skin tone
1F64B	emoji-fully-qualified	2	2	2	person raising hand
1F64B+1F3FB	emoji-fully-qualified	2	2	4	person raising hand: light skin tone
1F64B+1F3FC	emoji-fully-qualified	2	2	4	person raising hand: medium-light skin tone
1F64B+1F3FD	emoji-fully-qualified	2	2	4	person raising hand: medium skin tone
1F64B+1F3FE	emoji-fully-qualified	2	2	4	person raising hand: medium-dark skin tone
1F64B+1F3FF	emoji-fully-qualified	2	2	4	person raising hand: dark skin tone
1F64B+200D+2642+FE0F	emoji-fully-qualified	2	2	4	man raising hand
1F64B+200D+2642	emoji-minimally-qualified	2	2	4	man raising hand
1F64B+1F3FB+200D+2642+FE0F	emoji-fully-qualified	2	2	6	man raising hand: light skin tone
1F64B+1F3FB+200D+2642	emoji-minimally-qualified	2	2	6	man raising hand: light skin tone
1F64B+1F3FC+200D+2642+FE0F	emoji-fully-qualified	2	2	6	man raising hand: medium-light skin tone
1F64B+1F3FC+200D+2642	emoji-minimally-qualified	2	2	6	man raising hand: medium-light skin tone
1F64B+1F3FD+200D+2642+FE0F	emoji-fully-qualified	2	2	6	man raising hand: medium skin tone
1F64B+1F3FD+200D+2642	emoji-minimally-qualified	2	2	6	man raising hand: medium skin tone
1F64B+1F3FE+200D+2642+FE0F	emoji-fully-qualified	2	2	6	man raising hand: medium-dark skin tone
1F64B+1F3FE+200D+2642	emoji-minimally-qualified	2	2	6	man raising hand: medium-dark skin tone
1F64B+1F3FF+200D+2642+FE0F	emoji-fully-qualified	2	2	6	man raising hand: dark skin tone
1F64B+1F3FF+200D+2642	emoji-minimally-qualified	2	2	6	man raising hand: dark skin tone
1F64B+200D+2640+FE0F	emoji-fully-qualified	2	2	4	woman raising hand
1F64B+200D+2640	emoji-minimally-qualified	2	2	4	woman raising hand
1F64B+1F3FB+200D+2640+FE0F	emoji-fully-qualified	2	2	6	woman raising hand: light skin tone
1F64B+1F3FB+200D+2640	emoji-minimally-qualified	2	2	6	woman raising hand: light skin tone
1F64B+1F3FC+200D+2640+FE0F	emoji-fully-qualified	2	2	6	woman raising hand: medium-light skin tone
1F64B+1F3FC+200D+2640	emoji-minimally-qualified	2	2	6	woman raising hand: medium-light skin tone
1F64B+1F3FD+200D+2640+FE0F	emoji-fully-qualified	2	2	6	woman raising hand: medium skin tone
1F64B+1F3FD+200D+2640	emoji-minimally-qualified	2	2	6	woman raising hand: medium skin tone
1F64B+1F3FE+200D+2640+FE0F	emoji-fully-qualified	2	2	6	woman raising hand: medium-dark skin tone
1F64B+1F3FE+200D+2640	emoji-minimally-qualified	2	2	6	woman raising hand: medium-dark skin tone
1F64B+1F3FF+200D+2640+FE0F	emoji-fully-qualified	2	2	6	woman raising hand: dark skin tone
1F64B+1F3FF+200D+2640	emoji-minimally-qualified	2	2	6	woman raising hand: dark skin tone
1F9CF	emoji-fully-qualified	2	2	2	deaf person
1F9CF+1F3FB	emoji-fully-qualified	2	2	4	deaf person: light skin tone
1F9CF+1F3FC	emoji-fully-qualified	2	2	4	deaf person: medium-light skin tone
1F9CF+1F3FD	emoji-fully-qualified	2	2	4	deaf person: medium skin tone
1F9CF+1F3FE	emoji-fully-qualified	2	2	4	deaf person: medium-dark skin tone
1F9CF+1F3FF	emoji-fully-qualified	2	2	4	deaf person: dark skin tone
1F9CF+200D+2642+FE0F	emoji-fully-qualified	2	2	4	deaf man
1F9CF+200D+2642	emoji-minimally-qualified	2	2	4	deaf man
1F9CF+1F3FB+200D+2642+FE0F	emoji-fully-qualified	2	2	6	deaf man: light skin tone
1F9CF+1F3FB+200D+2642	emoji-minimally-qualified	2	2	6	deaf man: light skin tone
1F9CF+1F3FC+200D+2642+FE0F	emoji-fully-qualified	2	2	6	deaf man: medium-light skin tone
1F9CF+1F3FC+200D+2642	emoji-minimally-qualified	2	2	6	deaf man: medium-light skin tone
1F9CF+1F3FD+200D+2642+FE0F	emoji-fully-qualified	2	2	6	deaf man: medium skin tone
1F9CF+1F3FD+200D+2642	emoji-minimally-qualified	2	2	6	deaf man: medium skin tone
1F9CF+1F3FE+200D+2642+FE0F	emoji-fully-qualified	2	2	6	deaf man: medium-dark skin tone
1F9CF+1F3FE+200D+2642	emoji-minimally-qualified	2	2	6	deaf man: medium-dark skin tone
1F9CF+1F3FF+200D+2642+FE0F	emoji-fully-qualified	2	2	6	deaf man: dark skin tone
1F9CF+1F3FF+200D+2642	emoji-minimally-qualified	2	2	6	deaf man: dark skin tone
1F9CF+200D+2640+FE0F	emoji-fully-qualified	2	2	4	deaf woman
1F9CF+200D+2640	emoji-minimally-qualified	2	2	4	deaf woman
1F9CF+1F3FB+200D+2640+FE0F	emoji-fully-qualified	2	2	6	deaf woman: light skin tone
1F9CF+1F3FB+200D+2640	emoji-minimally-qualified	2	2	6	deaf woman: light skin tone
1F9CF+1F3FC+200D+2640+FE0F	emoji-fully-qualified	2	2	6	deaf woman: medium-light skin tone
1F9CF+1F3FC+200D+2640	emoji-minimally-qualified	2	2	6	deaf woman: medium-light skin tone
1F9CF+1F3FD+200D+2640+FE0F	emoji-fully-qualified	2	2	6	deaf woman: medium skin tone
1F9CF+1F3FD+200D+2640	emoji-minimally-qualified	2	2	6	deaf woman: medium skin tone
1F9CF+1F3FE+200D+2640+FE0F	emoji-fully-qualified	2	2	6	deaf woman: medium-dark skin tone
1F9CF+1F3FE+200D+2640	emoji-minimally-qualified	2	2	6	deaf woman: medium-dark skin tone
1F9CF+1F3FF+200D+2640+FE0F	emoji-fully-qualified	2	2	6	deaf woman: dark skin tone
1F9CF+1F3FF+200D+2640	emoji-minimally-qualified	2	2	6	deaf woman: dark skin tone
1F647	emoji-fully-qualified	2	2	2	person bowing
1F647+1F3FB	emoji-fully-qualified	2	2	4	person bowing: light skin tone
1F647+1F3FC	emoji-fully-qualified	2	2	4	person bowing: medium-light skin tone
1F647+1F3FD	emoji-fully-qualified	2	2	4	person bowing: medium skin tone
1F647+1F3FE	emoji-fully-qualified	2	2	4	person bowing: medium-dark skin tone
1F647+1F3FF	emoji-fully-qualified	2	2	4	person bowing: dark skin tone
1F647+200D+2642+FE0F	emoji-fully-qualified	2	2	4	man bowing
1F647+200D+2642	emoji-minimally-qualified	2	2	4	man bowing
1F647+1F3FB+200D+2642+FE0F	emoji-fully-qualified	2	2	6	man bowing: light skin tone
1F647+1F3FB+200D+2642	emoji-minimally-qualified	2	2	6	man bowing: light skin tone
1F647+1F3FC+200D+2642+FE0F	emoji-fully-qualified	2	2	6	man bowing: medium-light skin tone
1F647+1F3FC+200D+2642	emoji-minimally-qualified	2	2	6	man bowing: medium-light skin tone
1F647+1F3FD+200D+2642+FE0F	emoji-fully-qualified	2	2	6	man bowing: medium skin tone
1F647+1F3FD+200D+2642	emoji-minimally-qualified	2	2	6	man bowing: medium skin tone
1F647+1F3FE+200D+2642+FE0F	emoji-fully-qualified	2	2	6	man bowing: medium-dark skin tone
1F647+1F3FE+200D+2642	emoji-minimally-qualified	2	2	6	man bowing: medium-dark skin tone
1F647+1F3FF+200D+2642+FE0F	emoji-fully-qualified	2	2	6	man bowing: dark skin tone
1F647+1F3FF+200D+2642	emoji-minimally-qualified	2	2	6	man bowing: dark skin tone
1F647+200D+2640+FE0F	emoji-fully-qualified	2	2	4	woman bowing
1F647+200D+2640	emoji-minimally-qualified	2	2	4	woman bowing
1F647+1F3FB+200D+2640+FE0F	emoji-fully-qualified	2	2	6	woman bowing: light skin tone
1F647+1F3FB+200D+2640	emoji-minimally-qualified	2	2	6	woman bowing: light skin tone
1F647+1F3FC+200D+2640+FE0F	emoji-fully-qualified	2	2	6	woman bowing: medium-light skin tone
1F647+1F3FC+200D+2640	emoji-minimally-qualified	2	2	6	woman bowing: medium-light skin tone
1F647+1F3FD+200D+2640+FE0F	emoji-fully-qualified	2	2	6	woman bowing: medium skin tone
1F647+1F3FD+200D+2640	emoji-minimally-qualified	2	2	6	woman bowing: medium skin tone
1F647+1F3FE+200D+2640+FE0F	emoji-fully-qualified	2	2	6	woman bowing: medium-dark skin tone
1F647+1F3FE+200D+2640	emoji-minimally-qualified	2	2	6	woman bowing: medium-dark skin tone
1F647+1F3FF+200D+2640+FE0F	emoji-fully-qualified	2	2	6	woman bowing: dark skin tone
1F647+1F3FF+200D+2640	emoji-minimally-qualified	2	2	6	woman bowing: dark skin tone
1F926	emoji-fully-qualified	2	2	2	person facepalming
1F926+1F3FB	emoji-fully-qualified	2	2	4	person facepalming: light skin tone
1F926+1F3FC	emoji-fully-qualified	2	2	4	person facepalming: medium-light skin tone
1F926+1F3FD	emoji-fully-qualified	2	2	4	person facepalming: medium skin tone
1F926+1F3FE	emoji-fully-qualified	2	2	4	person facepalming: medium-dark skin tone
1F926+1F3FF	emoji-fully-qualified	2	2	4	person facepalming: dark skin tone
1F926+200D+2642+FE0F	emoji-fully-qualified	2	2	4	man facepalming
1F926+200D+2642	emoji-minimally-qualified	2	2	4	man facepalming
1F926+1F3FB+200D+2642+FE0F	emoji-fully-qualified	2	2	6	man facepalming: light skin tone
1F926+1F3FB+200D+2642	emoji-minimally-qualified	2	2	6	man facepalming: light skin tone
1F926+1F3FC+200D+2642+FE0F	emoji-fully-qualified	2	2	6	man facepalming: medium-light skin tone
1F926+1F3FC+200D+2642	emoji-minimally-qualified	2	2	6	man facepalming: medium-light skin tone
1F926+1F3FD+200D+2642+FE0F	emoji-fully-qualified	2	2	6	man facepalming: medium skin tone
1F926+1F3FD+200D+2642	emoji-minimally-qualified	2	2	6	man facepalming: medium skin tone
1F926+1F3FE+200D+2642+FE0F	emoji-fully-qualified	2	2	6	man facepalming: medium-dark skin tone
1F926+1F3FE+200D+2642	emoji-minimally-qualified	2	2	6	man facepalming: medium-dark skin tone
1F926+1F3FF+200D+2642+FE0F	emoji-fully-qualified	2	2	6	man facepalming: dark skin tone
1F926+1F3FF+200D+2642	emoji-minimally-qualified	2	2	6	man facepalming: dark skin tone
1F926+200D+2640+FE0F	emoji-fully-qualified	2	2	4	woman facepalming
1F926+200D+2640	emoji-minimally-qualified	2	2	4	woman facepalming
1F926+1F3FB+200D+2640+FE0F	emoji-fully-qualified	2	2	6	woman facepalming: light skin tone
1F926+1F3FB+200D+2640	emoji-minimally-qualified	2	2	6	woman facepalming: light skin tone
1F926+1F3FC+200D+2640+FE0F	emoji-fully-qualified	2	2	6	woman facepalming: medium-light skin tone
1F926+1F3FC+200D+2640	emoji-minimally-qualified	2	2	6	woman facepalming: medium-light skin tone
1F926+1F3FD+200D+2640+FE0F	emoji-fully-qualified	2	2	6	woman facepalming: medium skin tone
1F926+1F3FD+200D+2640	emoji-minimally-qualified	2	2	6	woman facepalming: medium skin tone
1F926+1F3FE+200D+2640+FE0F	emoji-fully-qualified	2	2	6	woman facepalming: medium-dark skin tone
1F926+1F3FE+200D+2640	emoji-minimally-qualified	2	2	6	woman facepalming: medium-dark skin tone
1F926+1F3FF+200D+2640+FE0F	emoji-fully-qualified	2	2	6	woman facepalming: dark skin tone
1F926+1F3FF+200D+2640	emoji-minimally-qualified	2	2	6	woman facepalming: dark skin tone
1F937	emoji-fully-qualified	2	2	2	person shrugging
1F937+1F3FB	emoji-fully-qualified	2	2	4	person shrugging: light skin tone
1F937+1F3FC	emoji-fully-qualified	2	2	4	person shrugging: medium-light skin tone
1F937+1F3FD	emoji-fully-qualified	2	2	4	person shrugging: medium skin tone
1F937+1F3FE	emoji-fully-qualified	2	2	4	person shrugging: medium-dark skin tone
1F937+1F3FF	emoji-fully-qualified	2	2	4	person shrugging: dark skin tone
1F937+200D+2642+FE0F	emoji-fully-qualified	2	2	4	man shrugging
1F937+200D+2642	emoji-minimally-qualified	2	2	4	man shrugging
1F937+1F3FB+200D+2642+FE0F	emoji-fully-qualified	2	2	6	man shrugging: light skin tone
1F937+1F3FB+200D+2642	emoji-minimally-qualified	2	2	6	man shrugging: light skin tone
1F937+1F3FC+200D+2642+FE0F	emoji-fully-qualified	2	2	6	man shrugging: medium-light skin tone
1F937+1F3FC+200D+2642	emoji-minimally-qualified	2	2	6	man shrugging: medium-light skin tone
1F937+1F3FD+200D+2642+FE0F	emoji-fully-qualified	2	2	6	man shrugging: medium skin tone
1F937+1F3FD+200D+2642	emoji-minimally-qualified	2	2	6	man shrugging: medium skin tone
1F937+1F3FE+200D+2642+FE0F	emoji-fully-qualified	2	2	6	man shrugging: medium-dark skin tone
1F937+1F3FE+200D+2642	emoji-minimally-qualified	2	2	6	man shrugging: medium-dark skin tone
1F937+1F3FF+200D+2642+FE0F	emoji-fully-qualified	2	2	6	man shrugging: dark skin tone
1F937+1F3FF+200D+2642	emoji-minimally-qualified	2	2	6	man shrugging: dark skin tone
1F937+200D+2640+FE0F	emoji-fully-qualified	2	2	4	woman shrugging
1F937+200D+2640	emoji-minimally-qualified	2	2	4	woman shrugging
1F937+1F3FB+200D+2640+FE0F	emoji-fully-qualified	2	2	6	woman shrugging: light skin tone
1F937+1F3FB+200D+2640	emoji-minimally-qualified	2	2	6	woman shrugging: light skin tone
1F937+1F3FC+200D+2640+FE0F	emoji-fully-qualified	2	2	6	woman shrugging: medium-light skin tone
1F937+1F3FC+200D+2640	emoji-minimally-qualified	2	2	6	woman shrugging: medium-light skin tone
1F937+1F3FD+200D+2640+FE0F	emoji-fully-qualified	2	2	6	woman shrugging: medium skin tone
1F937+1F3FD+200D+2640	emoji-minimally-qualified	2	2	6	woman shrugging: medium skin tone
1F937+1F3FE+200D+2640+FE0F	emoji-fully-qualified	2	2	6	woman shrugging: medium-dark skin tone
1F937+1F3FE+200D+2640	emoji-minimally-qualified	2	2	6	woman shrugging: medium-dark skin tone
1F937+1F3FF+200D+2640+FE0F	emoji-fully-qualified	2	2	6	woman shrugging: dark skin tone
1F937+1F3FF+200D+2640	emoji-minimally-qualified	2	2	6	woman shrugging: dark skin tone
1F9D1+200D+2695+FE0F	emoji-fully-qualified	2	2	4	health worker
1F9D1+200D+2695	emoji-minimally-qualified	2	2	4	health worker
1F9D1+1F3FB+200D+2695+FE0F	emoji-fully-qualified	2	2	6	health worker: light skin tone
1F9D1+1F3FB+200D+2695	emoji-minimally-qualified	2	2	6	health worker: light skin tone
1F9D1+1F3FC+200D+2695+FE0F	emoji-fully-qualified	2	2	6	health worker: medium-light skin tone
1F9D1+1F3FC+200D+2695	emoji-minimally-qualified	2	2	6	health worker: medium-light skin tone
1F9D1+1F3FD+200D+2695+FE0F	emoji-fully-qualified	2	2	6	health worker: medium skin tone
1F9D1+1F3FD+200D+2695	emoji-minimally-qualified	2	2	6	health worker: medium skin tone
1F9D1+1F3FE+200D+2695+FE0F	emoji-fully-qualified	2	2	6	health worker: medium-dark skin tone
1F9D1+1F3FE+200D+2695	emoji-minimally-qualified	2	2	6	health worker: medium-dark skin tone
1F9D1+1F3FF+200D+2695+FE0F	emoji-fully-qualified	2	2	6	health worker: dark skin tone
1F9D1+1F3FF+200D+2695	emoji-minimally-qualified	2	2	6	health worker: dark skin tone
1F468+200D+2695+FE0F	emoji-fully-qualified	2	2	4	man health worker
1F468+200D+2695	emoji-minimally-qualified	2	2	4	man health worker
1F468+1F3FB+200D+2695+FE0F	emoji-fully-qualified	2	2	6	man health worker: light skin tone
1F468+1F3FB+200D+2695	emoji-minimally-qualified	2	2	6	man health worker: light skin tone
1F468+1F3FC+200D+2695+FE0F	emoji-fully-qualified	2	2	6	man health worker: medium-light skin tone
1F468+1F3FC+200D+2695	emoji-minimally-qualified	2	2	6	man health worker: medium-light skin tone
1F468+1F3FD+200D+2695+FE0F	emoji-fully-qualified	2	2	6	man health worker: medium skin tone
1F468+1F3FD+200D+2695	emoji-minimally-qualified	2	2	6	man health worker: medium skin tone
1F468+1F3FE+200D+2695+FE0F	emoji-fully-qualified	2	2	6	man health worker: medium-dark skin tone
1F468+1F3FE+200D+2695	emoji-minimally-qualified	2	2	6	man health worker: medium-dark skin tone
1F468+1F3FF+200D+2695+FE0F	emoji-fully-qualified	2	2	6	man health worker: dark skin tone
1F468+1F3FF+200D+2695	emoji-minimally-qualified	2	2	6	man health worker: dark skin tone
1F469+200D+2695+FE0F	emoji-fully-qualified	2	2	4	woman health worker
1F469+200D+2695	emoji-minimally-qualified	2	2	4	woman health worker
1F469+1F3FB+200D+2695+FE0F	emoji-fully-qualified	2	2	6	woman health worker: light skin tone
1F469+1F3FB+200D+2695	emoji-minimally-qualified	2	2	6	woman health worker: light skin tone
1F469+1F3FC+200D+2695+FE0F	emoji-fully-qualified	2	2	6	woman health worker: medium-light skin tone
1F469+1F3FC+200D+2695	emoji-minimally-qualified	2	2	6	woman health worker: medium-light skin tone
1F469+1F3FD+200D+2695+FE0F	emoji-fully-qualified	2	2	6	woman health worker: medium skin tone
1F469+1F3FD+200D+2695	emoji-minimally-qualified	2	2	6	woman health worker: medium skin tone
1F469+1F3FE+200D+2695+FE0F	emoji-fully-qualified	2	2	6	woman health worker: medium-dark skin tone
1F469+1F3FE+200D+2695	emoji-minimally-qualified	2	2	6	woman health worker: medium-dark skin tone
1F469+1F3FF+200D+2695+FE0F	emoji-fully-qualified	2	2	6	woman health worker: dark skin tone
1F469+1F3FF+200D+2695	emoji-minimally-qualified	2	2	6	woman health worker: dark skin tone
1F9D1+200D+1F393	emoji-fully-qualified	2	2	5	student
1F9D1+1F3FB+200D+1F393	emoji-fully-qualified	2	2	7	student: light skin tone
1F9D1+1F3FC+200D+1F393	emoji-fully-qualified	2	2	7	student: medium-light skin tone
1F9D1+1F3FD+200D+1F393	emoji-fully-qualified	2	2	7	student: medium skin tone
1F9D1+1F3FE+200D+1F393	emoji-fully-qualified	2	2	7	student: medium-dark skin tone
1F9D1+1F3FF+200D+1F393	emoji-fully-qualified	2	2	7	student: dark skin tone
1F468+200D+1F393	emoji-fully-qualified	2	2	5	man student
1F468+1F3FB+200D+1F393	emoji-fully-qualified	2	2	7	man student: light skin tone
1F468+1F3FC+200D+1F393	emoji-fully-qualified	2	2	7	man student: medium-light skin tone
1F468+1F3FD+200D+1F393	emoji-fully-qualified	2	2	7	man student: medium skin tone
1F468+1F3FE+200D+1F393	emoji-fully-qualified	2	2	7	man student: medium-dark skin tone
1F468+1F3FF+200D+1F393	emoji-fully-qualified	2	2	7	man student: dark skin tone
1F469+200D+1F393	emoji-fully-qualified	2	2	5	woman student
1F469+1F3FB+200D+1F393	emoji-fully-qualified	2	2	7	woman student: light skin tone
1F469+1F3FC+200D+1F393	emoji-fully-qualified	2	2	7	woman student: medium-light skin tone
1F469+1F3FD+200D+1F393	emoji-fully-qualified	2	2	7	woman student: medium skin tone
1F469+1F3FE+200D+1F393	emoji-fully-qualified	2	2	7	woman student: medium-dark skin tone
1F469+1F3FF+200D+1F393	emoji-fully-qualified	2	2	7	woman student: dark skin tone
1F9D1+200D+1F3EB	emoji-fully-qualified	2	2	5	teacher
1F9D1+1F3FB+200D+1F3EB	emoji-fully-qualified	2	2	7	teacher: light skin tone
1F9D1+1F3FC+200D+1F3EB	emoji-fully-qualified	2	2	7	teacher: medium-light skin tone
1F9D1+1F3FD+200D+1F3EB	emoji-fully-qualified	2	2	7	teacher: medium skin tone
1F9D1+1F3FE+200D+1F3EB	emoji-fully-qualified	2	2	7	teacher: medium-dark skin tone
1F9D1+1F3FF+200D+1F3EB	emoji-fully-qualified	2	2	7	teacher: dark skin tone
1F468+200D+1F3EB	emoji-fully-qualified	2	2	5	man teacher
1F468+1F3FB+200D+1F3EB	emoji-fully-qualified	2	2	7	man teacher: light skin tone
1F468+1F3FC+200D+1F3EB	emoji-fully-qualified	2	2	7	man teacher: medium-light skin tone
1F468+1F3FD+200D+1F3EB	emoji-fully-qualified	2	2	7	man teacher: medium skin tone
1F468+1F3FE+200D+1F3EB	emoji-fully-qualified	2	2	7	man teacher: medium-dark skin tone
1F468+1F3FF+200D+1F3EB	emoji-fully-qualified	2	2	7	man teacher: dark skin tone
1F469+200D+1F3EB	emoji-fully-qualified	2	2	5	woman teacher
1F469+1F3FB+200D+1F3EB	emoji-fully-qualified	2	2	7	woman teacher: light skin tone
1F469+1F3FC+200D+1F3EB	emoji-fully-qualified	2	2	7	woman teacher: medium-light skin tone
1F469+1F3FD+200D+1F3EB	emoji-fully-qualified	2	2	7	woman teacher: medium skin tone
1F469+1F3FE+200D+1F3EB	emoji-fully-qualified	2	2	7	woman teacher: medium-dark skin tone
1F469+1F3FF+200D+1F3EB	emoji-fully-qualified	2	2	7	woman teacher: dark skin tone
1F9D1+200D+2696+FE0F	emoji-fully-qualified	2	2	4	judge
1F9D1+200D+2696	emoji-minimally-qualified	2	2	4	judge
1F9D1+1F3FB+200D+2696+FE0F	emoji-fully-qualified	2	2	6	judge: light skin tone
1F9D1+1F3FB+200D+2696	emoji-minimally-qualified	2	2	6	judge: light skin tone
1F9D1+1F3FC+200D+2696+FE0F	emoji-fully-qualified	2	2	6	judge: medium-light skin tone
1F9D1+1F3FC+200D+2696	emoji-minimally-qualified	2	2	6	judge: medium-light skin tone
1F9D1+1F3FD+200D+2696+FE0F	emoji-fully-qualified	2	2	6	judge: medium skin tone
1F9D1+1F3FD+200D+2696	emoji-minimally-qualified	2	2	6	judge: medium skin tone
1F9D1+1F3FE+200D+2696+FE0F	emoji-fully-qualified	2	2	6	judge: medium-dark skin tone
1F9D1+1F3FE+200D+2696	emoji-minimally-qualified	2	2	6	judge: medium-dark skin tone
1F9D1+1F3FF+200D+2696+FE0F	emoji-fully-qualified	2	2	6	judge: dark skin tone
