# unicode=16.0.0 clusters=5274
codepoints	group	note
0915+094D+0937	control	devanagari conjunct
0915+094D+0937+093F	control	conjunct plus a spacing vowel
0915+093F	control	consonant plus a spacing vowel
0915+094B	control	consonant plus a two part vowel
0BA8+0BBF	control	tamil na plus a vowel
0BA8+0BCB	control	tamil na plus a two part vowel
0995+09CD+09B7	control	bengali conjunct
0C15+0C4D+0C37	control	telugu conjunct
0E01+0E33	control	ko kai plus sara am
0E01+0E33+0E33	control	ko kai plus two sara am
0E01+0E48	control	ko kai plus a tone mark
0E01+0E34+0E48	control	ko kai, vowel, tone
0EA5+0EB2	control	lo loot plus a vowel
1100+1161	control	lead and vowel
1100+1161+11A8	control	lead, vowel and tail
1F600	emoji-fully-qualified	grinning face
1F603	emoji-fully-qualified	grinning face with big eyes
1F604	emoji-fully-qualified	grinning face with smiling eyes
1F601	emoji-fully-qualified	beaming face with smiling eyes
1F606	emoji-fully-qualified	grinning squinting face
1F605	emoji-fully-qualified	grinning face with sweat
1F923	emoji-fully-qualified	rolling on the floor laughing
1F602	emoji-fully-qualified	face with tears of joy
1F642	emoji-fully-qualified	slightly smiling face
1F643	emoji-fully-qualified	upside-down face
1FAE0	emoji-fully-qualified	melting face
1F609	emoji-fully-qualified	winking face
1F60A	emoji-fully-qualified	smiling face with smiling eyes
1F607	emoji-fully-qualified	smiling face with halo
1F970	emoji-fully-qualified	smiling face with hearts
1F60D	emoji-fully-qualified	smiling face with heart-eyes
1F929	emoji-fully-qualified	star-struck
1F618	emoji-fully-qualified	face blowing a kiss
1F617	emoji-fully-qualified	kissing face
1F61A	emoji-fully-qualified	kissing face with closed eyes
1F619	emoji-fully-qualified	kissing face with smiling eyes
1F972	emoji-fully-qualified	smiling face with tear
1F60B	emoji-fully-qualified	face savoring food
1F61B	emoji-fully-qualified	face with tongue
1F61C	emoji-fully-qualified	winking face with tongue
1F92A	emoji-fully-qualified	zany face
1F61D	emoji-fully-qualified	squinting face with tongue
1F911	emoji-fully-qualified	money-mouth face
1F917	emoji-fully-qualified	smiling face with open hands
1F92D	emoji-fully-qualified	face with hand over mouth
1FAE2	emoji-fully-qualified	face with open eyes and hand over mouth
1FAE3	emoji-fully-qualified	face with peeking eye
1F92B	emoji-fully-qualified	shushing face
1F914	emoji-fully-qualified	thinking face
1FAE1	emoji-fully-qualified	saluting face
1F910	emoji-fully-qualified	zipper-mouth face
1F928	emoji-fully-qualified	face with raised eyebrow
1F610	emoji-fully-qualified	neutral face
1F611	emoji-fully-qualified	expressionless face
1F636	emoji-fully-qualified	face without mouth
1FAE5	emoji-fully-qualified	dotted line face
1F636+200D+1F32B+FE0F	emoji-fully-qualified	face in clouds
1F636+200D+1F32B	emoji-minimally-qualified	face in clouds
1F60F	emoji-fully-qualified	smirking face
1F612	emoji-fully-qualified	unamused face
1F644	emoji-fully-qualified	face with rolling eyes
1F62C	emoji-fully-qualified	grimacing face
1F62E+200D+1F4A8	emoji-fully-qualified	face exhaling
1F925	emoji-fully-qualified	lying face
1FAE8	emoji-fully-qualified	shaking face
1F642+200D+2194+FE0F	emoji-fully-qualified	head shaking horizontally
1F642+200D+2194	emoji-minimally-qualified	head shaking horizontally
1F642+200D+2195+FE0F	emoji-fully-qualified	head shaking vertically
1F642+200D+2195	emoji-minimally-qualified	head shaking vertically
1F60C	emoji-fully-qualified	relieved face
1F614	emoji-fully-qualified	pensive face
1F62A	emoji-fully-qualified	sleepy face
1F924	emoji-fully-qualified	drooling face
1F634	emoji-fully-qualified	sleeping face
1FAE9	emoji-fully-qualified	face with bags under eyes
1F637	emoji-fully-qualified	face with medical mask
1F912	emoji-fully-qualified	face with thermometer
1F915	emoji-fully-qualified	face with head-bandage
1F922	emoji-fully-qualified	nauseated face
1F92E	emoji-fully-qualified	face vomiting
1F927	emoji-fully-qualified	sneezing face
1F975	emoji-fully-qualified	hot face
1F976	emoji-fully-qualified	cold face
1F974	emoji-fully-qualified	woozy face
1F635	emoji-fully-qualified	face with crossed-out eyes
1F635+200D+1F4AB	emoji-fully-qualified	face with spiral eyes
1F92F	emoji-fully-qualified	exploding head
1F920	emoji-fully-qualified	cowboy hat face
1F973	emoji-fully-qualified	partying face
1F978	emoji-fully-qualified	disguised face
1F60E	emoji-fully-qualified	smiling face with sunglasses
1F913	emoji-fully-qualified	nerd face
1F9D0	emoji-fully-qualified	face with monocle
1F615	emoji-fully-qualified	confused face
1FAE4	emoji-fully-qualified	face with diagonal mouth
1F61F	emoji-fully-qualified	worried face
1F641	emoji-fully-qualified	slightly frowning face
2639+FE0F	emoji-fully-qualified	frowning face
2639	emoji-unqualified	frowning face
1F62E	emoji-fully-qualified	face with open mouth
1F62F	emoji-fully-qualified	hushed face
1F632	emoji-fully-qualified	astonished face
1F633	emoji-fully-qualified	flushed face
1F97A	emoji-fully-qualified	pleading face
1F979	emoji-fully-qualified	face holding back tears
1F626	emoji-fully-qualified	frowning face with open mouth
1F627	emoji-fully-qualified	anguished face
1F628	emoji-fully-qualified	fearful face
1F630	emoji-fully-qualified	anxious face with sweat
1F625	emoji-fully-qualified	sad but relieved face
1F622	emoji-fully-qualified	crying face
1F62D	emoji-fully-qualified	loudly crying face
1F631	emoji-fully-qualified	face screaming in fear
1F616	emoji-fully-qualified	confounded face
1F623	emoji-fully-qualified	persevering face
1F61E	emoji-fully-qualified	disappointed face
1F613	emoji-fully-qualified	downcast face with sweat
1F629	emoji-fully-qualified	weary face
1F62B	emoji-fully-qualified	tired face
1F971	emoji-fully-qualified	yawning face
1F624	emoji-fully-qualified	face with steam from nose
1F621	emoji-fully-qualified	enraged face
1F620	emoji-fully-qualified	angry face
1F92C	emoji-fully-qualified	face with symbols on mouth
1F608	emoji-fully-qualified	smiling face with horns
1F47F	emoji-fully-qualified	angry face with horns
1F480	emoji-fully-qualified	skull
2620+FE0F	emoji-fully-qualified	skull and crossbones
2620	emoji-unqualified	skull and crossbones
1F4A9	emoji-fully-qualified	pile of poo
1F921	emoji-fully-qualified	clown face
1F479	emoji-fully-qualified	ogre
1F47A	emoji-fully-qualified	goblin
1F47B	emoji-fully-qualified	ghost
1F47D	emoji-fully-qualified	alien
1F47E	emoji-fully-qualified	alien monster
1F916	emoji-fully-qualified	robot
1F63A	emoji-fully-qualified	grinning cat
1F638	emoji-fully-qualified	grinning cat with smiling eyes
1F639	emoji-fully-qualified	cat with tears of joy
1F63B	emoji-fully-qualified	smiling cat with heart-eyes
1F63C	emoji-fully-qualified	cat with wry smile
1F63D	emoji-fully-qualified	kissing cat
1F640	emoji-fully-qualified	weary cat
1F63F	emoji-fully-qualified	crying cat
1F63E	emoji-fully-qualified	pouting cat
1F648	emoji-fully-qualified	see-no-evil monkey
1F649	emoji-fully-qualified	hear-no-evil monkey
1F64A	emoji-fully-qualified	speak-no-evil monkey
1F48C	emoji-fully-qualified	love letter
1F498	emoji-fully-qualified	heart with arrow
1F49D	emoji-fully-qualified	heart with ribbon
1F496	emoji-fully-qualified	sparkling heart
1F497	emoji-fully-qualified	growing heart
1F493	emoji-fully-qualified	beating heart
1F49E	emoji-fully-qualified	revolving hearts
1F495	emoji-fully-qualified	two hearts
1F49F	emoji-fully-qualified	heart decoration
2763+FE0F	emoji-fully-qualified	heart exclamation
2763	emoji-unqualified	heart exclamation
1F494	emoji-fully-qualified	broken heart
2764+200D+1F525	emoji-unqualified	heart on fire
2764+FE0F+200D+1FA79	emoji-fully-qualified	mending heart
2764+200D+1FA79	emoji-unqualified	mending heart
1FA77	emoji-fully-qualified	pink heart
1F9E1	emoji-fully-qualified	orange heart
1F49B	emoji-fully-qualified	yellow heart
1F49A	emoji-fully-qualified	green heart
1F499	emoji-fully-qualified	blue heart
1FA75	emoji-fully-qualified	light blue heart
1F49C	emoji-fully-qualified	purple heart
1F90E	emoji-fully-qualified	brown heart
1F5A4	emoji-fully-qualified	black heart
1FA76	emoji-fully-qualified	grey heart
1F90D	emoji-fully-qualified	white heart
1F48B	emoji-fully-qualified	kiss mark
1F4AF	emoji-fully-qualified	hundred points
1F4A2	emoji-fully-qualified	anger symbol
1F4A5	emoji-fully-qualified	collision
1F4AB	emoji-fully-qualified	dizzy
1F4A6	emoji-fully-qualified	sweat droplets
1F4A8	emoji-fully-qualified	dashing away
1F573+FE0F	emoji-fully-qualified	hole
1F573	emoji-unqualified	hole
1F4AC	emoji-fully-qualified	speech balloon
1F441+200D+1F5E8+FE0F	emoji-unqualified	eye in speech bubble
1F441+FE0F+200D+1F5E8	emoji-minimally-qualified	eye in speech bubble
1F441+200D+1F5E8	emoji-unqualified	eye in speech bubble
1F5E8+FE0F	emoji-fully-qualified	left speech bubble
1F5E8	emoji-unqualified	left speech bubble
1F5EF+FE0F	emoji-fully-qualified	right anger bubble
1F5EF	emoji-unqualified	right anger bubble
1F4AD	emoji-fully-qualified	thought balloon
1F4A4	emoji-fully-qualified	ZZZ
1F44B	emoji-fully-qualified	waving hand
1F44B+1F3FB	emoji-fully-qualified	waving hand: light skin tone
1F44B+1F3FC	emoji-fully-qualified	waving hand: medium-light skin tone
1F44B+1F3FD	emoji-fully-qualified	waving hand: medium skin tone
1F44B+1F3FE	emoji-fully-qualified	waving hand: medium-dark skin tone
1F44B+1F3FF	emoji-fully-qualified	waving hand: dark skin tone
1F91A	emoji-fully-qualified	raised back of hand
1F91A+1F3FB	emoji-fully-qualified	raised back of hand: light skin tone
1F91A+1F3FC	emoji-fully-qualified	raised back of hand: medium-light skin tone
1F91A+1F3FD	emoji-fully-qualified	raised back of hand: medium skin tone
1F91A+1F3FE	emoji-fully-qualified	raised back of hand: medium-dark skin tone
1F91A+1F3FF	emoji-fully-qualified	raised back of hand: dark skin tone
1F590+FE0F	emoji-fully-qualified	hand with fingers splayed
1F590	emoji-unqualified	hand with fingers splayed
1F590+1F3FB	emoji-fully-qualified	hand with fingers splayed: light skin tone
1F590+1F3FC	emoji-fully-qualified	hand with fingers splayed: medium-light skin tone
1F590+1F3FD	emoji-fully-qualified	hand with fingers splayed: medium skin tone
1F590+1F3FE	emoji-fully-qualified	hand with fingers splayed: medium-dark skin tone
1F590+1F3FF	emoji-fully-qualified	hand with fingers splayed: dark skin tone
270B	emoji-fully-qualified	raised hand
270B+1F3FB	emoji-fully-qualified	raised hand: light skin tone
270B+1F3FC	emoji-fully-qualified	raised hand: medium-light skin tone
270B+1F3FD	emoji-fully-qualified	raised hand: medium skin tone
270B+1F3FE	emoji-fully-qualified	raised hand: medium-dark skin tone
270B+1F3FF	emoji-fully-qualified	raised hand: dark skin tone
1F596	emoji-fully-qualified	vulcan salute
1F596+1F3FB	emoji-fully-qualified	vulcan salute: light skin tone
1F596+1F3FC	emoji-fully-qualified	vulcan salute: medium-light skin tone
1F596+1F3FD	emoji-fully-qualified	vulcan salute: medium skin tone
1F596+1F3FE	emoji-fully-qualified	vulcan salute: medium-dark skin tone
1F596+1F3FF	emoji-fully-qualified	vulcan salute: dark skin tone
1FAF1	emoji-fully-qualified	rightwards hand
1FAF1+1F3FB	emoji-fully-qualified	rightwards hand: light skin tone
1FAF1+1F3FC	emoji-fully-qualified	rightwards hand: medium-light skin tone
1FAF1+1F3FD	emoji-fully-qualified	rightwards hand: medium skin tone
1FAF1+1F3FE	emoji-fully-qualified	rightwards hand: medium-dark skin tone
1FAF1+1F3FF	emoji-fully-qualified	rightwards hand: dark skin tone
1FAF2	emoji-fully-qualified	leftwards hand
1FAF2+1F3FB	emoji-fully-qualified	leftwards hand: light skin tone
1FAF2+1F3FC	emoji-fully-qualified	leftwards hand: medium-light skin tone
1FAF2+1F3FD	emoji-fully-qualified	leftwards hand: medium skin tone
1FAF2+1F3FE	emoji-fully-qualified	leftwards hand: medium-dark skin tone
1FAF2+1F3FF	emoji-fully-qualified	leftwards hand: dark skin tone
1FAF3	emoji-fully-qualified	palm down hand
1FAF3+1F3FB	emoji-fully-qualified	palm down hand: light skin tone
1FAF3+1F3FC	emoji-fully-qualified	palm down hand: medium-light skin tone
1FAF3+1F3FD	emoji-fully-qualified	palm down hand: medium skin tone
1FAF3+1F3FE	emoji-fully-qualified	palm down hand: medium-dark skin tone
1FAF3+1F3FF	emoji-fully-qualified	palm down hand: dark skin tone
1FAF4	emoji-fully-qualified	palm up hand
1FAF4+1F3FB	emoji-fully-qualified	palm up hand: light skin tone
1FAF4+1F3FC	emoji-fully-qualified	palm up hand: medium-light skin tone
1FAF4+1F3FD	emoji-fully-qualified	palm up hand: medium skin tone
1FAF4+1F3FE	emoji-fully-qualified	palm up hand: medium-dark skin tone
1FAF4+1F3FF	emoji-fully-qualified	palm up hand: dark skin tone
1FAF7	emoji-fully-qualified	leftwards pushing hand
1FAF7+1F3FB	emoji-fully-qualified	leftwards pushing hand: light skin tone
1FAF7+1F3FC	emoji-fully-qualified	leftwards pushing hand: medium-light skin tone
1FAF7+1F3FD	emoji-fully-qualified	leftwards pushing hand: medium skin tone
1FAF7+1F3FE	emoji-fully-qualified	leftwards pushing hand: medium-dark skin tone
1FAF7+1F3FF	emoji-fully-qualified	leftwards pushing hand: dark skin tone
1FAF8	emoji-fully-qualified	rightwards pushing hand
1FAF8+1F3FB	emoji-fully-qualified	rightwards pushing hand: light skin tone
1FAF8+1F3FC	emoji-fully-qualified	rightwards pushing hand: medium-light skin tone
1FAF8+1F3FD	emoji-fully-qualified	rightwards pushing hand: medium skin tone
1FAF8+1F3FE	emoji-fully-qualified	rightwards pushing hand: medium-dark skin tone
1FAF8+1F3FF	emoji-fully-qualified	rightwards pushing hand: dark skin tone
1F44C	emoji-fully-qualified	OK hand
1F44C+1F3FB	emoji-fully-qualified	OK hand: light skin tone
1F44C+1F3FC	emoji-fully-qualified	OK hand: medium-light skin tone
1F44C+1F3FD	emoji-fully-qualified	OK hand: medium skin tone
1F44C+1F3FE	emoji-fully-qualified	OK hand: medium-dark skin tone
1F44C+1F3FF	emoji-fully-qualified	OK hand: dark skin tone
1F90C	emoji-fully-qualified	pinched fingers
1F90C+1F3FB	emoji-fully-qualified	pinched fingers: light skin tone
1F90C+1F3FC	emoji-fully-qualified	pinched fingers: medium-light skin tone
1F90C+1F3FD	emoji-fully-qualified	pinched fingers: medium skin tone
1F90C+1F3FE	emoji-fully-qualified	pinched fingers: medium-dark skin tone
1F90C+1F3FF	emoji-fully-qualified	pinched fingers: dark skin tone
1F90F	emoji-fully-qualified	pinching hand
1F90F+1F3FB	emoji-fully-qualified	pinching hand: light skin tone
1F90F+1F3FC	emoji-fully-qualified	pinching hand: medium-light skin tone
1F90F+1F3FD	emoji-fully-qualified	pinching hand: medium skin tone
1F90F+1F3FE	emoji-fully-qualified	pinching hand: medium-dark skin tone
1F90F+1F3FF	emoji-fully-qualified	pinching hand: dark skin tone
270C+FE0F	emoji-fully-qualified	victory hand
270C	emoji-unqualified	victory hand
270C+1F3FB	emoji-fully-qualified	victory hand: light skin tone
270C+1F3FC	emoji-fully-qualified	victory hand: medium-light skin tone
270C+1F3FD	emoji-fully-qualified	victory hand: medium skin tone
270C+1F3FE	emoji-fully-qualified	victory hand: medium-dark skin tone
270C+1F3FF	emoji-fully-qualified	victory hand: dark skin tone
1F91E	emoji-fully-qualified	crossed fingers
1F91E+1F3FB	emoji-fully-qualified	crossed fingers: light skin tone
1F91E+1F3FC	emoji-fully-qualified	crossed fingers: medium-light skin tone
1F91E+1F3FD	emoji-fully-qualified	crossed fingers: medium skin tone
1F91E+1F3FE	emoji-fully-qualified	crossed fingers: medium-dark skin tone
1F91E+1F3FF	emoji-fully-qualified	crossed fingers: dark skin tone
1FAF0	emoji-fully-qualified	hand with index finger and thumb crossed
1FAF0+1F3FB	emoji-fully-qualified	hand with index finger and thumb crossed: light skin tone
1FAF0+1F3FC	emoji-fully-qualified	hand with index finger and thumb crossed: medium-light skin tone
1FAF0+1F3FD	emoji-fully-qualified	hand with index finger and thumb crossed: medium skin tone
1FAF0+1F3FE	emoji-fully-qualified	hand with index finger and thumb crossed: medium-dark skin tone
1FAF0+1F3FF	emoji-fully-qualified	hand with index finger and thumb crossed: dark skin tone
1F91F	emoji-fully-qualified	love-you gesture
1F91F+1F3FB	emoji-fully-qualified	love-you gesture: light skin tone
1F91F+1F3FC	emoji-fully-qualified	love-you gesture: medium-light skin tone
1F91F+1F3FD	emoji-fully-qualified	love-you gesture: medium skin tone
1F91F+1F3FE	emoji-fully-qualified	love-you gesture: medium-dark skin tone
1F91F+1F3FF	emoji-fully-qualified	love-you gesture: dark skin tone
1F918	emoji-fully-qualified	sign of the horns
1F918+1F3FB	emoji-fully-qualified	sign of the horns: light skin tone
1F918+1F3FC	emoji-fully-qualified	sign of the horns: medium-light skin tone
1F918+1F3FD	emoji-fully-qualified	sign of the horns: medium skin tone
1F918+1F3FE	emoji-fully-qualified	sign of the horns: medium-dark skin tone
1F918+1F3FF	emoji-fully-qualified	sign of the horns: dark skin tone
1F919	emoji-fully-qualified	call me hand
1F919+1F3FB	emoji-fully-qualified	call me hand: light skin tone
1F919+1F3FC	emoji-fully-qualified	call me hand: medium-light skin tone
1F919+1F3FD	emoji-fully-qualified	call me hand: medium skin tone
1F919+1F3FE	emoji-fully-qualified	call me hand: medium-dark skin tone
1F919+1F3FF	emoji-fully-qualified	call me hand: dark skin tone
1F448	emoji-fully-qualified	backhand index pointing left
1F448+1F3FB	emoji-fully-qualified	backhand index pointing left: light skin tone
1F448+1F3FC	emoji-fully-qualified	backhand index pointing left: medium-light skin tone
1F448+1F3FD	emoji-fully-qualified	backhand index pointing left: medium skin tone
1F448+1F3FE	emoji-fully-qualified	backhand index pointing left: medium-dark skin tone
1F448+1F3FF	emoji-fully-qualified	backhand index pointing left: dark skin tone
1F449	emoji-fully-qualified	backhand index pointing right
1F449+1F3FB	emoji-fully-qualified	backhand index pointing right: light skin tone
1F449+1F3FC	emoji-fully-qualified	backhand index pointing right: medium-light skin tone
1F449+1F3FD	emoji-fully-qualified	backhand index pointing right: medium skin tone
1F449+1F3FE	emoji-fully-qualified	backhand index pointing right: medium-dark skin tone
1F449+1F3FF	emoji-fully-qualified	backhand index pointing right: dark skin tone
1F446	emoji-fully-qualified	backhand index pointing up
1F446+1F3FB	emoji-fully-qualified	backhand index pointing up: light skin tone
1F446+1F3FC	emoji-fully-qualified	backhand index pointing up: medium-light skin tone
1F446+1F3FD	emoji-fully-qualified	backhand index pointing up: medium skin tone
1F446+1F3FE	emoji-fully-qualified	backhand index pointing up: medium-dark skin tone
1F446+1F3FF	emoji-fully-qualified	backhand index pointing up: dark skin tone
1F595	emoji-fully-qualified	middle finger
1F595+1F3FB	emoji-fully-qualified	middle finger: light skin tone
1F595+1F3FC	emoji-fully-qualified	middle finger: medium-light skin tone
1F595+1F3FD	emoji-fully-qualified	middle finger: medium skin tone
1F595+1F3FE	emoji-fully-qualified	middle finger: medium-dark skin tone
1F595+1F3FF	emoji-fully-qualified	middle finger: dark skin tone
1F447	emoji-fully-qualified	backhand index pointing down
1F447+1F3FB	emoji-fully-qualified	backhand index pointing down: light skin tone
1F447+1F3FC	emoji-fully-qualified	backhand index pointing down: medium-light skin tone
1F447+1F3FD	emoji-fully-qualified	backhand index pointing down: medium skin tone
1F447+1F3FE	emoji-fully-qualified	backhand index pointing down: medium-dark skin tone
1F447+1F3FF	emoji-fully-qualified	backhand index pointing down: dark skin tone
261D+FE0F	emoji-fully-qualified	index pointing up
261D	emoji-unqualified	index pointing up
261D+1F3FB	emoji-fully-qualified	index pointing up: light skin tone
261D+1F3FC	emoji-fully-qualified	index pointing up: medium-light skin tone
261D+1F3FD	emoji-fully-qualified	index pointing up: medium skin tone
261D+1F3FE	emoji-fully-qualified	index pointing up: medium-dark skin tone
261D+1F3FF	emoji-fully-qualified	index pointing up: dark skin tone
1FAF5	emoji-fully-qualified	index pointing at the viewer
1FAF5+1F3FB	emoji-fully-qualified	index pointing at the viewer: light skin tone
1FAF5+1F3FC	emoji-fully-qualified	index pointing at the viewer: medium-light skin tone
1FAF5+1F3FD	emoji-fully-qualified	index pointing at the viewer: medium skin tone
1FAF5+1F3FE	emoji-fully-qualified	index pointing at the viewer: medium-dark skin tone
1FAF5+1F3FF	emoji-fully-qualified	index pointing at the viewer: dark skin tone
1F44D+1F3FB	emoji-fully-qualified	thumbs up: light skin tone
1F44D+1F3FC	emoji-fully-qualified	thumbs up: medium-light skin tone
1F44D+1F3FE	emoji-fully-qualified	thumbs up: medium-dark skin tone
1F44D+1F3FF	emoji-fully-qualified	thumbs up: dark skin tone
1F44E	emoji-fully-qualified	thumbs down
1F44E+1F3FB	emoji-fully-qualified	thumbs down: light skin tone
1F44E+1F3FC	emoji-fully-qualified	thumbs down: medium-light skin tone
1F44E+1F3FD	emoji-fully-qualified	thumbs down: medium skin tone
1F44E+1F3FE	emoji-fully-qualified	thumbs down: medium-dark skin tone
1F44E+1F3FF	emoji-fully-qualified	thumbs down: dark skin tone
270A	emoji-fully-qualified	raised fist
270A+1F3FB	emoji-fully-qualified	raised fist: light skin tone
270A+1F3FC	emoji-fully-qualified	raised fist: medium-light skin tone
270A+1F3FD	emoji-fully-qualified	raised fist: medium skin tone
270A+1F3FE	emoji-fully-qualified	raised fist: medium-dark skin tone
270A+1F3FF	emoji-fully-qualified	raised fist: dark skin tone
1F44A	emoji-fully-qualified	oncoming fist
1F44A+1F3FB	emoji-fully-qualified	oncoming fist: light skin tone
1F44A+1F3FC	emoji-fully-qualified	oncoming fist: medium-light skin tone
1F44A+1F3FD	emoji-fully-qualified	oncoming fist: medium skin tone
1F44A+1F3FE	emoji-fully-qualified	oncoming fist: medium-dark skin tone
1F44A+1F3FF	emoji-fully-qualified	oncoming fist: dark skin tone
1F91B	emoji-fully-qualified	left-facing fist
1F91B+1F3FB	emoji-fully-qualified	left-facing fist: light skin tone
1F91B+1F3FC	emoji-fully-qualified	left-facing fist: medium-light skin tone
1F91B+1F3FD	emoji-fully-qualified	left-facing fist: medium skin tone
1F91B+1F3FE	emoji-fully-qualified	left-facing fist: medium-dark skin tone
1F91B+1F3FF	emoji-fully-qualified	left-facing fist: dark skin tone
1F91C	emoji-fully-qualified	right-facing fist
1F91C+1F3FB	emoji-fully-qualified	right-facing fist: light skin tone
1F91C+1F3FC	emoji-fully-qualified	right-facing fist: medium-light skin tone
1F91C+1F3FD	emoji-fully-qualified	right-facing fist: medium skin tone
1F91C+1F3FE	emoji-fully-qualified	right-facing fist: medium-dark skin tone
1F91C+1F3FF	emoji-fully-qualified	right-facing fist: dark skin tone
1F44F	emoji-fully-qualified	clapping hands
1F44F+1F3FB	emoji-fully-qualified	clapping hands: light skin tone
1F44F+1F3FC	emoji-fully-qualified	clapping hands: medium-light skin tone
1F44F+1F3FD	emoji-fully-qualified	clapping hands: medium skin tone
1F44F+1F3FE	emoji-fully-qualified	clapping hands: medium-dark skin tone
1F44F+1F3FF	emoji-fully-qualified	clapping hands: dark skin tone
1F64C	emoji-fully-qualified	raising hands
1F64C+1F3FB	emoji-fully-qualified	raising hands: light skin tone
1F64C+1F3FC	emoji-fully-qualified	raising hands: medium-light skin tone
1F64C+1F3FD	emoji-fully-qualified	raising hands: medium skin tone
1F64C+1F3FE	emoji-fully-qualified	raising hands: medium-dark skin tone
1F64C+1F3FF	emoji-fully-qualified	raising hands: dark skin tone
1FAF6	emoji-fully-qualified	heart hands
1FAF6+1F3FB	emoji-fully-qualified	heart hands: light skin tone
1FAF6+1F3FC	emoji-fully-qualified	heart hands: medium-light skin tone
1FAF6+1F3FD	emoji-fully-qualified	heart hands: medium skin tone
1FAF6+1F3FE	emoji-fully-qualified	heart hands: medium-dark skin tone
1FAF6+1F3FF	emoji-fully-qualified	heart hands: dark skin tone
1F450	emoji-fully-qualified	open hands
1F450+1F3FB	emoji-fully-qualified	open hands: light skin tone
1F450+1F3FC	emoji-fully-qualified	open hands: medium-light skin tone
1F450+1F3FD	emoji-fully-qualified	open hands: medium skin tone
1F450+1F3FE	emoji-fully-qualified	open hands: medium-dark skin tone
1F450+1F3FF	emoji-fully-qualified	open hands: dark skin tone
1F932	emoji-fully-qualified	palms up together
1F932+1F3FB	emoji-fully-qualified	palms up together: light skin tone
1F932+1F3FC	emoji-fully-qualified	palms up together: medium-light skin tone
1F932+1F3FD	emoji-fully-qualified	palms up together: medium skin tone
1F932+1F3FE	emoji-fully-qualified	palms up together: medium-dark skin tone
1F932+1F3FF	emoji-fully-qualified	palms up together: dark skin tone
1F91D	emoji-fully-qualified	handshake
1F91D+1F3FB	emoji-fully-qualified	handshake: light skin tone
1F91D+1F3FC	emoji-fully-qualified	handshake: medium-light skin tone
1F91D+1F3FD	emoji-fully-qualified	handshake: medium skin tone
1F91D+1F3FE	emoji-fully-qualified	handshake: medium-dark skin tone
1F91D+1F3FF	emoji-fully-qualified	handshake: dark skin tone
1FAF1+1F3FB+200D+1FAF2+1F3FC	emoji-fully-qualified	handshake: light skin tone, medium-light skin tone
1FAF1+1F3FB+200D+1FAF2+1F3FD	emoji-fully-qualified	handshake: light skin tone, medium skin tone
1FAF1+1F3FB+200D+1FAF2+1F3FE	emoji-fully-qualified	handshake: light skin tone, medium-dark skin tone
1FAF1+1F3FB+200D+1FAF2+1F3FF	emoji-fully-qualified	handshake: light skin tone, dark skin tone
1FAF1+1F3FC+200D+1FAF2+1F3FB	emoji-fully-qualified	handshake: medium-light skin tone, light skin tone
1FAF1+1F3FC+200D+1FAF2+1F3FD	emoji-fully-qualified	handshake: medium-light skin tone, medium skin tone
1FAF1+1F3FC+200D+1FAF2+1F3FE	emoji-fully-qualified	handshake: medium-light skin tone, medium-dark skin tone
1FAF1+1F3FC+200D+1FAF2+1F3FF	emoji-fully-qualified	handshake: medium-light skin tone, dark skin tone
